hoursperweek,age,education,maritalstatus,race,gender,nativecountry,income
0,0,1,0,1,0,1,1080
0,0,1,0,1,0,1,30201
0,0,1,1,1,1,1,22387
0,0,1,0,1,1,1,13000
0,0,1,0,1,0,1,8000
0,0,1,1,1,1,1,30720
0,0,0,0,1,0,1,1500
0,1,1,0,1,0,0,10197
0,1,1,1,1,1,1,69050
1,1,1,1,1,1,1,55640
1,1,1,1,1,1,1,89432
0,0,1,1,1,1,1,14532
1,1,1,1,1,1,1,12503
0,1,1,0,1,0,1,18192
1,1,1,1,1,0,1,72459
0,1,1,1,1,0,1,22854
1,0,1,1,1,1,1,45000
1,1,1,1,1,1,1,75916
1,1,1,1,1,1,1,34940
0,1,1,0,1,1,1,3289
0,1,1,1,1,1,1,64532
0,0,1,0,1,0,1,7016
1,1,1,1,1,1,1,56835
0,0,1,1,1,0,1,38816
1,1,1,1,1,1,1,74598
1,1,0,1,1,1,1,39540
0,1,1,1,1,1,1,29010
0,1,1,1,1,1,1,75198
1,1,1,1,1,1,1,39200
0,0,1,0,1,1,1,12000
1,1,1,1,1,1,1,31580
0,1,1,1,1,1,1,59000
0,1,1,0,1,0,1,7918
0,0,1,0,1,1,1,12000
0,1,1,1,1,1,1,67400
1,1,1,1,1,1,1,36096
0,0,1,0,1,1,1,12000
1,0,1,0,1,0,1,5902
0,1,1,1,1,1,1,39875
0,1,1,1,1,1,1,48300
0,0,1,1,1,1,1,8000
0,0,1,1,1,1,1,52416
1,0,1,1,1,1,1,38140
0,1,1,1,1,1,1,62473
1,0,1,1,1,1,1,48450
1,0,1,0,1,1,1,35000
0,0,1,0,1,0,1,3300
0,1,1,0,1,0,1,10380
1,1,0,0,1,1,1,11604
0,0,1,0,1,1,1,12489
0,0,1,1,1,1,1,15400
1,0,1,0,1,1,1,9000
0,1,1,1,1,0,1,71250
0,1,1,0,1,1,1,55205
0,0,1,0,1,0,1,27969
0,1,1,0,1,0,1,22837
0,1,1,1,1,1,1,20557
0,0,1,1,1,1,1,17440
1,1,1,0,1,0,1,11765
0,0,1,1,1,1,1,58200
0,0,1,0,1,0,1,14000
1,1,1,1,1,1,1,43924
0,1,1,1,1,1,1,46193
0,0,1,0,1,1,1,6364
1,1,1,1,1,1,1,86302
0,0,1,0,1,1,1,2800
1,1,1,1,1,1,1,67558
1,0,1,1,1,1,1,63100
1,0,1,1,1,1,1,20000
0,1,1,1,1,1,0,58880
0,0,1,0,0,0,1,2579
0,1,1,1,1,1,1,19906
1,1,1,0,1,0,1,18900
0,0,1,0,1,0,0,4400
0,0,0,1,1,1,1,7000
0,0,0,1,1,1,1,11100
1,1,1,1,1,1,1,99999
1,1,1,1,1,1,1,99999
1,0,1,1,0,1,0,30000
1,1,1,0,1,1,1,41539
1,1,1,0,1,1,1,7618
0,0,1,0,1,0,1,17540
1,0,1,1,1,1,0,33479
1,0,1,0,1,1,1,21530
0,0,1,0,1,0,1,16798
0,0,1,1,1,1,1,24000
0,0,1,1,1,1,1,29117
0,0,1,1,1,1,1,15244
0,1,1,0,1,1,1,15600
0,0,1,0,1,0,0,4200
0,0,0,1,1,1,1,34000
0,0,1,1,1,1,1,31412
0,1,1,1,1,1,1,31000
1,0,1,1,1,1,1,21300
0,1,1,1,1,1,1,9747
0,1,1,1,1,1,1,7568
0,0,1,1,1,1,1,48027
0,1,1,0,1,1,1,24010
0,1,0,0,1,0,1,11500
1,0,1,1,1,1,1,54000
1,0,1,1,1,1,1,31117
0,1,1,1,1,1,1,15000
0,0,1,0,1,0,1,11025
0,0,1,0,1,0,1,4931
0,1,1,1,1,1,1,32287
0,1,1,1,1,1,1,34297
0,1,0,0,1,0,0,12696
0,1,1,0,1,1,1,50602
1,1,0,0,1,0,1,6300
1,0,1,1,1,1,1,45514
0,1,1,1,1,1,1,50000
0,0,1,0,1,0,1,2500
0,0,1,1,1,1,1,33000
0,1,1,1,1,1,1,48000
0,1,1,0,1,1,1,22059
0,0,1,0,1,0,1,1451
0,0,0,0,1,1,1,2005
0,0,1,0,1,0,1,9000
0,1,1,1,1,0,1,28557
1,1,1,0,1,1,1,20595
1,0,0,0,1,0,1,17023
1,0,1,1,1,1,1,47500
0,1,1,0,1,0,1,24071
0,1,1,1,1,0,1,2500
1,1,1,1,1,1,1,62028
0,0,1,0,1,0,1,5200
0,1,1,1,1,1,1,47693
0,0,1,1,1,1,1,30214
0,0,1,0,1,1,1,10816
0,0,1,1,1,1,1,19649
1,1,1,1,1,1,1,17525
0,0,1,0,1,0,1,3121
0,0,1,0,1,1,1,21000
1,0,1,1,1,1,1,41841
0,1,1,0,1,1,1,18040
0,1,1,0,1,0,1,19008
1,0,1,1,1,1,1,57200
0,1,1,0,1,0,1,18571
1,1,1,1,1,1,1,49800
0,1,0,1,1,1,1,54311
1,1,1,1,1,1,1,38013
0,1,0,1,1,1,1,11000
1,0,1,1,1,1,1,55148
1,1,1,1,1,1,1,30512
0,0,1,0,1,0,1,2764
0,0,1,1,1,1,1,28300
0,1,1,1,1,1,1,54116
0,0,1,1,1,1,1,18071
0,1,1,0,1,0,1,30400
1,1,1,1,1,1,0,57100
1,0,1,1,1,1,1,27125
0,0,1,0,1,1,1,11500
0,1,1,1,1,0,1,40800
0,1,1,1,1,1,1,28800
0,0,1,1,1,1,1,27337
1,1,1,1,1,1,1,30000
0,0,0,0,1,0,1,2600
0,1,1,0,1,0,1,29200
1,0,0,1,1,1,1,36152
1,1,0,1,1,1,1,24013
0,1,1,1,1,0,1,58196
0,0,0,0,1,0,1,693
0,1,1,1,1,1,1,11713
0,0,1,0,1,0,1,4000
1,1,1,1,1,1,1,56800
0,0,0,0,1,1,1,838
1,0,1,1,1,1,1,68800
0,1,1,1,1,1,1,59491
1,1,1,1,1,1,1,45429
0,0,1,0,0,0,1,9212
0,1,1,1,1,1,1,40338
1,1,1,0,1,1,1,35000
0,1,1,0,1,0,1,36964
0,1,1,0,1,1,1,16132
0,1,1,0,1,1,1,8794
0,0,1,1,1,1,1,39484
0,1,1,0,1,0,1,17100
0,0,1,0,1,1,1,8800
0,0,1,1,1,1,1,20600
1,1,1,1,1,1,1,55260
0,0,1,0,1,1,1,16000
1,0,1,0,1,0,1,12164
1,0,1,0,1,1,1,75000
0,0,1,0,1,0,1,8500
0,1,1,1,1,0,1,17297
1,1,1,1,1,1,1,54496
1,1,1,0,1,0,0,4800
1,1,1,1,1,1,1,45016
1,1,1,0,1,0,1,28860
0,0,1,0,1,0,1,1620
1,0,1,0,1,1,1,20492
1,1,1,1,1,1,1,37001
0,1,1,1,1,1,1,54157
0,0,1,0,1,1,1,19257
0,1,1,1,1,0,1,30033
0,0,1,0,1,1,1,21205
0,0,1,1,1,1,1,45623
0,1,1,1,1,1,1,38884
0,1,1,0,1,1,1,2563
0,0,1,0,1,0,1,19198
0,0,1,0,1,0,1,18547
0,0,0,0,1,1,1,17986
0,1,1,1,1,1,1,27000
0,1,1,0,1,0,1,43018
0,1,1,0,1,0,1,33006
1,1,1,1,1,1,1,21889
0,1,1,1,1,0,1,99999
1,0,1,0,1,0,1,32200
0,1,0,0,1,1,1,11162
0,1,1,0,1,1,1,17843
1,0,1,1,1,1,1,33904
1,1,1,0,1,1,1,20500
1,0,1,1,1,1,1,50024
1,1,1,1,1,1,1,33000
1,1,1,1,1,1,1,99999
0,1,1,0,1,0,1,9420
0,0,1,0,1,0,1,15610
1,1,1,1,1,1,1,23762
1,1,1,1,1,1,1,99999
0,1,1,1,1,1,1,21236
0,1,1,1,1,1,1,12921
0,0,1,0,1,1,1,3000
0,0,1,0,1,1,1,2000
0,0,1,1,1,1,1,23967
0,1,0,1,1,1,1,21750
0,0,1,0,1,0,1,3775
0,1,1,1,1,1,1,43162
1,0,1,1,1,1,1,37856
1,1,1,0,1,0,1,47053
1,1,1,0,1,0,1,31161
0,1,1,1,1,1,1,54492
1,1,1,0,1,0,1,27000
0,1,1,1,1,1,1,3554
0,1,1,0,1,1,1,19849
0,1,1,0,1,0,1,27099
1,1,1,1,1,1,1,66666
0,1,1,1,1,1,1,59539
0,1,1,1,0,1,0,99999
0,1,1,1,1,1,1,50198
1,1,1,1,1,1,1,26156
1,0,1,0,1,1,1,13326
1,1,1,1,1,1,1,55858
1,1,1,1,1,1,1,28545
1,1,1,0,1,0,1,21120
0,1,1,1,1,1,1,49681
0,0,1,0,1,0,1,3299
1,1,0,1,1,1,1,15000
0,1,1,0,1,0,1,3700
0,0,1,1,1,0,1,8800
0,1,0,1,0,1,0,20800
0,1,1,1,1,1,1,77598
0,1,1,1,1,0,1,31100
0,1,1,0,1,0,1,21628
1,1,1,1,1,1,1,99999
0,1,1,1,1,1,1,38477
1,0,1,1,1,1,1,25100
0,1,1,1,1,1,1,50020
1,1,1,1,1,1,1,40000
1,1,1,1,1,1,0,11379
1,1,1,1,1,1,1,62400
0,1,1,1,1,1,1,44010
0,1,0,0,1,1,1,17000
0,1,1,0,1,1,1,19110
0,0,1,0,1,0,1,15000
0,0,1,0,1,1,1,21000
1,1,1,1,1,1,1,70324
0,0,1,0,1,0,1,42558
0,0,0,0,1,1,1,250
0,0,1,0,1,1,1,7400
0,1,1,0,1,0,1,25030
0,0,1,0,1,0,1,14100
0,0,1,0,1,0,1,19000
0,0,1,0,1,0,1,12000
0,0,1,0,1,1,1,27800
0,1,1,1,1,1,1,23523
1,1,1,1,1,1,1,60162
0,1,1,0,1,0,1,17597
0,1,1,1,1,1,1,49732
1,1,1,1,1,1,1,53199
0,1,0,1,1,1,1,52031
1,1,1,1,1,1,1,15067
0,0,1,0,1,1,1,11804
1,0,1,1,1,1,1,32684
0,1,1,1,1,1,1,99999
0,1,1,0,1,0,1,10086
0,0,0,0,1,0,1,1720
0,0,1,0,1,1,1,2400
0,0,0,0,1,1,1,10995
0,1,1,0,1,0,1,30030
0,0,1,1,1,1,1,14827
0,0,1,1,1,1,1,53730
1,1,1,0,1,1,1,23013
0,0,0,0,1,0,1,1460
1,0,0,0,1,1,1,8017
1,1,1,1,1,1,1,13100
1,1,1,1,1,1,1,23036
1,1,0,1,1,1,1,50756
1,1,0,0,1,1,1,26601
0,0,1,1,1,1,1,26922
1,1,1,1,1,1,1,60933
0,1,1,0,1,1,1,30250
0,1,1,0,1,0,1,9838
0,1,1,1,1,1,1,24796
0,1,1,1,1,1,1,48459
0,0,1,1,1,1,1,55519
1,1,1,1,1,1,1,48812
1,0,1,1,1,1,1,44031
0,0,1,1,1,0,1,50715
0,0,1,0,1,0,1,21210
0,0,0,0,1,0,1,15000
1,1,1,1,1,1,1,58080
0,1,1,0,1,1,1,66268
0,1,1,0,1,0,1,20167
1,0,1,1,1,1,1,60115
1,0,1,1,1,1,1,27918
1,0,1,0,1,1,1,12600
0,0,1,0,1,0,1,10516
0,1,0,1,1,1,1,34924
1,1,1,1,1,1,1,52780
0,0,1,0,1,0,1,14998
0,0,1,0,1,1,1,22600
1,0,1,0,1,1,1,16025
0,0,1,0,1,0,1,20450
1,0,1,0,1,1,1,20410
0,0,1,0,1,1,1,13073
0,0,1,0,1,1,1,4000
0,0,1,0,1,1,1,17030
0,0,1,0,1,1,1,7900
0,0,1,0,1,1,1,6589
1,1,1,0,1,1,1,43400
1,1,1,1,1,1,1,99999
0,0,1,1,1,1,1,30677
0,1,1,0,1,0,1,27501
1,0,1,0,1,1,1,37075
1,1,1,1,0,1,1,77646
0,0,1,0,0,0,1,3025
0,1,1,0,1,0,1,7903
1,1,1,0,1,0,1,22515
1,1,1,1,1,1,1,81615
1,1,1,1,1,1,1,50833
0,1,1,1,1,1,1,99999
0,0,1,0,1,0,1,9000
1,1,1,1,1,1,1,90898
0,0,0,0,1,1,1,1210
0,0,1,0,1,1,1,21000
1,0,1,1,1,1,1,35590
0,1,1,1,1,0,1,32971
0,0,1,0,1,0,1,5000
1,1,1,1,1,1,1,54851
1,1,1,1,1,1,1,46327
0,0,1,0,1,0,1,10262
0,0,1,0,1,0,1,23850
0,0,0,0,1,1,1,13828
0,1,1,1,1,1,1,53034
0,0,1,0,1,1,1,1400
0,1,1,1,1,1,1,21372
0,1,1,0,1,1,1,18169
0,0,1,0,1,1,1,27000
0,1,1,0,1,1,1,26451
0,1,1,1,1,1,1,55150
0,0,0,0,1,0,1,1400
0,1,1,0,1,1,1,22038
1,1,0,1,1,1,1,16141
0,1,1,0,1,0,1,45866
1,0,1,0,1,1,1,12000
0,1,1,1,1,0,1,50663
1,0,1,0,1,0,1,27695
0,0,1,0,1,0,1,5043
0,1,1,1,1,1,1,99999
0,1,0,0,1,0,1,38910
0,0,1,0,1,0,1,21601
0,1,0,1,1,1,1,22200
1,0,1,0,1,1,1,30110
1,1,1,1,1,1,1,99999
1,1,1,0,1,0,1,45200
0,1,1,0,1,1,1,30050
0,0,1,1,1,1,1,51000
0,1,1,1,1,1,1,65026
1,1,1,0,1,1,1,48000
0,1,1,1,1,1,1,61700
0,0,1,0,1,1,0,4500
0,1,1,0,1,0,1,8974
0,1,1,0,1,0,1,19750
0,0,0,1,1,0,1,34000
1,0,1,0,1,0,1,36100
0,0,1,0,1,0,1,10693
0,0,1,0,1,1,1,35001
0,1,0,1,1,1,1,20252
1,0,1,1,1,0,1,61500
0,1,1,1,1,1,0,29494
0,0,1,0,1,0,1,5930
0,0,1,0,1,0,1,4800
1,1,1,0,1,1,1,93044
0,0,1,0,1,0,1,11000
0,0,1,1,0,1,1,47035
0,0,1,0,1,0,1,21158
1,1,1,1,1,1,1,76894
1,1,1,0,1,1,1,24208
0,0,1,0,1,0,1,32525
0,1,1,1,1,1,1,99999
1,1,1,1,1,1,1,66527
0,0,1,0,1,0,1,10007
0,0,1,0,1,0,1,3300
0,1,1,1,1,1,1,73930
0,0,1,0,1,1,1,2475
1,1,1,1,1,1,1,86460
0,1,1,1,1,1,1,38970
0,0,1,0,1,0,1,5001
1,0,1,0,1,1,1,22000
0,1,1,0,1,0,1,15250
1,1,1,0,1,1,1,23400
0,1,1,0,1,1,1,8500
0,1,1,0,1,1,1,7399
1,0,1,0,1,1,1,29835
0,1,1,1,1,0,1,61778
0,0,1,0,1,1,1,29025
0,0,1,0,1,1,1,16250
1,1,1,1,1,1,1,63904
0,0,0,0,1,1,1,3900
1,1,1,1,1,1,1,44512
1,1,1,0,1,1,1,62787
0,1,1,0,1,0,1,44864
0,1,1,1,1,1,1,42300
0,0,1,0,1,1,1,35010
1,0,1,0,1,1,1,23000
1,0,1,0,1,0,1,30025
1,0,1,0,1,0,1,25025
1,0,1,0,1,0,1,16826
1,1,1,1,1,1,1,81776
1,1,1,0,1,1,1,42025
0,1,1,0,1,0,1,35025
1,0,1,1,1,1,1,60338
0,1,1,1,1,1,1,48504
0,0,1,0,1,1,1,16138
0,1,1,0,1,0,1,37100
0,0,1,1,1,1,1,49155
1,0,1,1,1,1,1,63408
0,1,1,1,1,0,1,35507
0,1,1,1,1,1,1,33001
0,1,1,0,1,0,0,15700
1,0,1,0,1,1,1,28000
1,0,0,0,1,1,1,22209
1,0,1,0,1,0,1,15000
0,0,1,1,1,0,1,20400
1,1,0,1,1,0,1,46580
1,1,0,1,1,1,1,41350
1,0,1,0,1,1,1,17000
0,0,1,0,1,0,1,2100
0,0,1,0,1,0,1,11041
0,0,1,0,1,1,1,26000
0,1,1,0,1,0,1,20030
0,1,1,0,1,0,1,17502
0,1,1,0,1,0,1,12000
0,0,1,0,0,1,1,6000
1,1,1,1,1,1,1,46502
0,0,1,0,1,1,1,20072
0,1,1,0,1,0,1,35030
1,1,1,1,1,1,1,16343
1,1,1,1,1,1,1,79000
1,0,1,0,1,1,1,30810
0,0,1,0,1,0,1,50752
0,0,1,1,1,1,1,36121
0,0,1,0,1,0,1,15035
0,0,0,0,1,1,1,25030
1,0,1,0,1,1,1,35200
0,1,1,1,1,1,1,63643
0,1,1,1,1,1,1,53084
0,0,1,1,1,1,1,15225
0,1,1,1,1,1,1,80298
1,0,1,0,0,1,0,47005
0,0,1,1,0,1,0,28317
1,1,1,0,1,1,1,42427
1,0,1,1,1,1,1,74521
0,1,1,0,1,1,1,30687
1,0,1,0,1,1,1,36000
1,0,1,0,1,0,1,22000
0,1,1,1,1,1,1,43637
1,0,1,1,1,1,1,99999
0,0,1,1,1,0,1,80498
0,0,1,1,1,1,1,99999
1,1,1,1,1,1,1,92914
1,1,1,1,1,1,1,99999
1,1,1,1,1,1,1,33395
1,0,1,0,1,1,0,10000
1,1,1,1,1,1,0,99574
1,1,1,1,1,1,1,99999
1,1,1,1,1,1,0,99999
1,1,1,1,1,1,1,71500
1,0,1,1,1,1,1,49100
0,1,0,1,1,1,1,13072
1,1,1,1,1,1,1,65346
0,1,0,0,1,0,1,15000
1,0,1,1,1,1,1,32030
0,0,1,1,1,0,1,20458
0,1,1,1,1,1,1,50808
1,1,1,1,1,1,1,64380
1,1,1,1,1,1,1,49098
0,0,0,1,1,1,1,18443
0,0,0,0,1,0,1,16589
0,0,1,0,1,0,1,55777
0,1,0,1,1,1,1,27362
1,0,1,0,1,1,1,32450
0,0,1,0,1,1,1,11725
1,0,1,0,1,0,1,99999
0,1,1,0,1,0,1,27626
0,1,0,1,1,1,1,17000
1,0,1,1,1,1,1,35014
0,1,1,0,1,1,1,40350
1,0,1,1,1,1,1,72200
1,0,1,0,1,1,1,18111
0,0,0,0,1,1,1,9156
0,0,1,0,1,1,1,7700
0,0,0,0,1,1,1,7800
0,1,1,1,1,1,1,45165
0,1,1,0,1,1,1,23200
0,1,1,0,1,1,1,18013
0,0,1,0,1,0,1,1713
0,0,0,0,1,0,1,1200
0,1,1,0,1,1,1,40000
0,0,0,1,1,1,1,14200
1,0,1,0,1,0,1,26035
1,1,1,1,1,1,1,59373
0,1,1,1,1,1,1,21000
0,0,0,0,1,0,1,18000
1,1,1,1,0,1,1,46642
0,0,1,1,1,1,1,55070
1,0,1,1,1,1,1,9000
0,1,1,1,1,1,1,14202
0,0,1,1,1,1,1,39688
1,1,0,1,1,1,0,84149
1,1,0,1,1,0,0,26788
1,0,1,0,1,0,1,4071
1,1,0,1,1,0,0,84196
0,0,0,1,1,1,1,6587
1,1,1,1,1,1,1,51030
0,0,1,0,1,1,1,1939
1,0,1,1,1,1,1,63237
0,1,1,1,1,1,0,22366
1,0,1,0,1,1,1,19800
0,0,1,0,1,1,1,11170
0,0,0,1,1,1,1,49050
0,1,1,1,1,1,1,25005
1,1,1,1,1,1,1,7000
0,1,1,1,1,1,1,22000
0,0,1,0,1,0,1,17022
0,0,1,0,1,1,1,17000
0,0,1,0,1,0,1,12300
1,1,1,0,1,1,1,19383
1,0,1,1,1,1,1,41002
0,1,0,0,1,1,1,3000
1,0,1,1,0,0,0,40042
1,0,1,1,0,0,0,38049
0,1,1,1,0,0,0,20088
0,1,1,1,1,1,1,55300
0,1,1,1,1,1,1,30787
0,0,1,0,1,1,1,7168
0,1,1,1,1,1,1,28810
0,1,1,1,1,1,1,30660
0,0,1,0,1,0,1,7000
0,1,1,0,1,0,1,3010
0,1,1,0,1,0,1,8780
1,1,1,0,1,0,1,18012
1,1,1,1,1,1,1,78024
1,0,1,1,1,1,1,40353
1,0,1,1,1,1,1,52000
0,0,1,0,1,0,1,15309
0,1,1,1,1,1,1,21157
1,1,1,1,1,1,1,62240
1,1,1,1,1,1,1,55200
0,0,1,0,1,1,1,15000
0,0,0,0,1,1,1,1000
0,0,1,1,1,1,1,71831
0,0,1,0,1,0,1,10400
0,1,1,1,1,1,1,33091
0,1,1,1,1,1,1,65020
0,1,1,1,1,1,1,36057
0,0,0,0,1,1,1,3200
0,0,1,0,1,0,1,2600
1,1,1,1,1,1,1,53103
1,1,1,1,1,1,1,57600
0,0,0,0,1,1,1,675
1,1,1,1,1,1,1,33501
0,1,1,1,1,1,1,35287
0,0,0,0,0,0,0,2100
1,0,1,1,1,1,1,46075
1,1,1,1,1,1,1,99999
1,1,1,1,1,0,1,46833
0,1,1,1,1,1,1,56777
1,1,1,1,1,1,1,59132
0,1,1,1,1,1,1,99999
1,1,1,1,1,1,1,87838
0,0,0,0,1,1,1,31000
0,0,0,0,1,1,1,33500
1,0,1,1,1,1,1,36022
0,0,1,1,1,1,1,31468
1,1,1,0,1,1,1,51300
